panel,record_type,context,regime_or_state,method,share,query,view,value,ci95_low,ci95_high,metric,owning_section,note
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CCDC6,0,0.24069013965502412,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CCDC6,0,0.22013611419408047,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CCDC6,0,0.14012732741864825,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CCDC78,0,0.0014085709224631593,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CCDC78,0,0.03351748811252642,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CCDC78,0,0.014061211742743995,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CCNC,0,-0.03134400720927232,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CCNC,0,-0.02994576281324357,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CCNC,0,-0.07495555136275961,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CCNH,0,0.0048300586538466694,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CCNH,0,-0.0016115982991441458,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CCNH,0,0.018929023284071977,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CCNK,0,0.03907808210857852,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CCNK,0,0.012653042129289693,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CCNK,0,-0.07265301992453176,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CCT2,0,0.04237854696985194,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CCT2,0,0.06506331467845466,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CCT2,0,0.03542300505896795,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CCT3,0,0.05960559160302953,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CCT3,0,0.05886987863980958,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CCT3,0,0.03440589153636925,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CCT6A,0,0.05120541556566133,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CCT6A,0,0.012564937991058733,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CCT6A,0,0.012570700906997911,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CCT7,0,0.026532166569948112,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CCT7,0,0.025166015452508128,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CCT7,0,0.04138376759991064,,,paired delta BU@20,sec:context,query-view row
