query,view,goal_blind_mbu,forward_match_mbu,base_mbu,text_mbu,vcdesign_ced_mbu,ced_minus_base,ced_minus_text,base_hvhit_10,base_hvhit_20,base_hvhit_50,text_hvhit_10,text_hvhit_20,text_hvhit_50,vcdesign_ced_hvhit_10,vcdesign_ced_hvhit_20,vcdesign_ced_hvhit_50,owning_section
TXNDC17,1,0.33659232496929464,-0.026428398882480764,0.2682827290353409,0.2574423222272352,0.2703823110747482,0.0020995820394072995,0.012939988847513018,2.0,3.0,7.0,1.0,3.0,5.0,1.0,3.0,8.0,sec:heldout
RNASEH2A,1,-0.05802986349536415,-0.05708235054043917,0.09015712082544092,0.10381069769115459,-0.10742811719922056,-0.1975852380246615,-0.21123881489037516,0.0,1.0,5.0,2.0,4.0,6.0,0.0,0.0,5.0,sec:heldout
SLC25A10,1,0.23125828481151753,0.47214776033694933,0.6394548805098763,0.668338817871212,0.6544195407185752,0.01496466020869891,-0.013919277152636744,7.0,13.0,20.0,8.0,13.0,18.0,7.0,13.0,24.0,sec:heldout
AMBRA1,1,-0.23149939020682017,0.03437733242738055,0.055100543313704724,0.06347725941367534,0.015747497485236458,-0.03935304582846827,-0.04772976192843888,1.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,3.0,sec:heldout
PYURF,1,0.46654705286209813,0.3647644199347471,0.5431984989498401,0.4557969266689008,0.5262311532214642,-0.016967345728375882,0.07043422655256337,7.0,9.0,14.0,5.0,8.0,13.0,6.0,11.0,15.0,sec:heldout
SNX5,1,-0.11339093753117964,0.05336577397684539,-0.08317757075860814,0.10645087990991535,-0.017037538718120606,0.06614003204048753,-0.12348841862803596,2.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,sec:heldout
MALSU1,1,0.11320377244932822,0.5992855199861018,0.7289875514981438,0.6610904564599575,0.6972296991276775,-0.031757852370466244,0.03613924266772006,9.0,14.0,25.0,8.0,15.0,21.0,9.0,14.0,21.0,sec:heldout
UBE2I,1,0.23443836716442357,0.10304565704786132,0.4835342196176362,0.5363124579082709,0.5272758326568964,0.04374161303926016,-0.009036625251374497,5.0,8.0,12.0,6.0,9.0,12.0,5.0,8.0,20.0,sec:heldout
LEPROT,1,-0.05463990327088494,0.1025769868968054,0.03001626436538668,-0.13882577858195194,0.18989858942497032,0.15988232505958364,0.3287243680069223,1.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,sec:heldout
MUTYH,1,0.21518795348616257,0.4292725774928352,0.38287520169448475,0.39100703586002816,0.40436844730155475,0.02149324560707,0.013361411441526583,5.0,5.0,9.0,5.0,5.0,9.0,5.0,6.0,9.0,sec:heldout
