figure,panel,series,regime,context,x,value,ci95_low,ci95_high,statistic,owning_section
4,c-left,RIDGE_UNIT[full],MASKED,HepG2,0.08424259129260028,0.3750138387234628,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[full@matched],MASKED,HepG2,0.018501545385016766,0.18823014974836258,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[STRING_only],MASKED,HepG2,0.0759369368645047,0.39664963282439836,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[MAPKG_only],MASKED,HepG2,0.0548041009958286,0.24309061022260697,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[rank64],MASKED,HepG2,0.09068194118615919,0.35649779915179575,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[rank128],MASKED,HepG2,0.09059047690554077,0.3679232334042824,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[rank512],MASKED,HepG2,0.07966443202232991,0.3812531379025637,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562],MASKED,Jurkat,0.06115531860491177,0.31604865413605787,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562@matched],MASKED,Jurkat,0.02583701241691716,0.19702580544230452,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[RPE1],MASKED,Jurkat,0.00752072897968359,0.2340106140577211,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[RPE1@matched],MASKED,Jurkat,0.0029469245849898314,0.16939408359804475,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[HepG2],MASKED,Jurkat,0.024908531061944753,0.0957618659595135,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[HepG2@matched],MASKED,Jurkat,0.024908531061944753,0.0957618659595135,,,"candidate-specific prediction cosine (x) vs effect-only BU@20 (y); duplicate fit, excluded from the within-context test",sec:prediction-design
4,c-left,RIDGE_UNIT[K562+RPE1],MASKED,Jurkat,0.0653631898314462,0.3820439530138651,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562+RPE1@matched],MASKED,Jurkat,0.01119699818889913,0.14757885245027175,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562+HepG2],MASKED,Jurkat,0.07240661062623231,0.3060699277323828,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562+HepG2@matched],MASKED,Jurkat,0.02411486774410957,0.21147235234552617,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[RPE1+HepG2],MASKED,Jurkat,0.030508792505814727,0.25055675373486236,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[RPE1+HepG2@matched],MASKED,Jurkat,0.019176881337372807,0.12066907740991059,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[full],MASKED,Jurkat,0.07507786851860608,0.3520176361840939,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[full@matched],MASKED,Jurkat,0.007251396937727323,0.1249854714272213,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[STRING_only],MASKED,Jurkat,0.0646258855993107,0.38160134568420545,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[MAPKG_only],MASKED,Jurkat,0.03715246683429027,0.12038393005045306,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[rank64],MASKED,Jurkat,0.07924546925026033,0.32399519352999195,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[rank128],MASKED,Jurkat,0.07796609043389711,0.33875745110598005,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[rank512],MASKED,Jurkat,0.06849918907702769,0.3668242968337838,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-right,rank 64,MASKED,RPE1,0.0020122217653619837,-0.023523136330011407,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,rank 64,MASKED,HepG2,0.006439349893558904,-0.01851603957166703,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,rank 64,MASKED,Jurkat,0.004167600731654245,-0.02802244265410192,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,rank 128,MASKED,RPE1,0.002338292222770856,-0.006479422578457683,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,rank 128,MASKED,HepG2,0.006347885612940488,-0.007090605319180376,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,rank 128,MASKED,Jurkat,0.0028882219152910338,-0.013260185078113829,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,rank 512,MASKED,RPE1,-0.0031217466001111013,0.004462508378482999,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,rank 512,MASKED,HepG2,-0.004578159270270374,0.006239299179100932,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,rank 512,MASKED,Jurkat,-0.006578679441578389,0.01480666064968994,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,STRING only,MASKED,RPE1,-0.007034046815111002,0.01985299264414389,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,STRING only,MASKED,HepG2,-0.008305654428095582,0.02163579410093558,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,STRING only,MASKED,Jurkat,-0.010451982919295374,0.029583709500111577,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,MAP-KG only,MASKED,RPE1,-0.01892072294219818,-0.06285871894127987,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,MAP-KG only,MASKED,HepG2,-0.02943849029677168,-0.1319232285008558,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
4,c-right,MAP-KG only,MASKED,Jurkat,-0.03792540168431581,-0.23163370613364082,,,"within-atlas change: d prediction (x), d design (y)",sec:prediction-design
